objectid,filename,title,creator,date,description,subjectkeyword,location,source,type,typespecifics,image,format,formatspecifics,resolution,size,language,rights
coll001,item001.jpg,Unnamed Men Marking Curling Field,Bain News Services,No date recorded on item,Image of four unnamed men marking tee head on curling field,Curling; stone; tee head; curling field; ice sports,USA,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",Image;StillImage,Glass nevative,item001.jpg,image/jpg,"JPEG (29kb), TIFF (23.7mb)",Low-res,"5""x7""",Eng,Public Domain
coll002,item002.jpg,Ladies' Curling Match 1900's,Keystone View Company,1909,"Image of women in 1900's dresses and hats curling in Montreal, Canada",Curling; women's; midwinter carnival; sweeping; stone; broom; Montreal; Canada,"Montreal, Canada","Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA https://hdl.loc.gov/loc.pnp/pp.print",Image;StillImage,Photograph,item002.jpg,image/jpg,"JPEG (54kb), TIFF (1.9mb)",Low-res,9x8 cm.,Eng,Public Domain
coll003,item003.jpg,The History of Curling and Fifty Years of the Royal Caledonian Curling Club,"Kerr, John",1890,"A book covering the history of curling and its rules, as governed by the Royal Caledonian Curling Club in Scotland.",Curling; history; winter sports; Royal Caledonian Club; Scotland; stone; broom; sweeping,Scotland,Catalog Record: The history of curling and fifty years of the... | HathiTrust Digital Library https://catalog.hathitrust.org/Record/011597058/Home,Text,Book,item003.jpg,image/jpg,JPEG (1469x2481),Low-res,"xiv p., 2 l., [3]-440 p. front., illus., plates (2 col.) ports., diagrs. 27 cm.",Eng,Public Domain
coll004,item004.jpg,"Scotland vs America Curling Match at Van Cortland Lake, NY",No information on item found with image,1930,Image of a small crowd watching men curl on the Van Cortland Lake,Curling; history; broom; stone; Van Cortland Lake; NY; sweeping,"Van Cortland Lake, NY","Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA",Image;StillImage,B&W film copy negative,item004.jpg,image/jpg,"JPEG (48kb), TIFF 12.8mb)",Low-res,Unknown,Eng,Public Domain
coll005,item005.jpg,Curling is for Everyone to Enjoy,"Hardie, Charles Martin",1901,Image of a large crowd of men and women curling in various matches,Curling; history; broom; stone; men and women ice sports,USA,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA https://hdl.loc.gov/loc.pnp/pp.print",Image;StillImage,Photogravure,item005.jpg,image/jpg,JPEG (90.2kb),Low-res,92x122 cm or less,Eng,Public Domain
coll006,item006.jpg,"Curling in Central Park, NY",Byron,1900,Image of men watching other men in a curling match,Curling; history; broom; stone; Central Park winter,"Central Park, NY","Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",Image;StillImage,Dry plate negative,item006.jpg,image/jpg,JPEG (4.7kb),Low-res,"8x10""",Eng,Public Domain
coll007,item007.jpg,Curling Complete Rules and Regulations with Diagrams,"Mitchell, James S.",1899,A book about the rules and regulations of curling with images,Curling; rules and regulations; sweeping; stone; competition,New York City,"Library of Congress Call Number/Physical Location
GV845 .M68",Text,Book,item007.jpg,image/jpg,"JPEG (494.6kb), PDF",Hi-res,18 p. diagrs. 17 cm.,Eng,Public Domain
coll008,item008.jpg,Woman Curling 1900's Canada,Keystone View Company,1909,Image of a woman in 1900's getting ready to throw a curling stone with another woman watching,Curling; stone; women; form; Montreal; Quebec; Canada; ice sports,"Montreal, Canada","Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA https://hdl.loc.gov/loc.pnp/pp.print",Image;StillImage,"Photograph, stereograph format",item008.jpg,image/jpg,"JPEG (44.2kb), GIF (18.3kb), TIFF (1.9mb)",Low-res,9x18 cm.,Eng,Public Domain
coll009,item009.jpg,Men Curling in Austria,"Frissell, Toni","January, 1955","Image of four unnamed men in a curling match, St. Anton, Austria",Curling match; St. Anton; Austria; stone; broom; ice sports,"St. Anton, Austria","Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA https://hdl.loc.gov/loc.pnp/pp.print",Image;StillImage,"Photograph, color transparency, 35mm",item009.jpg,image/jpg,JPEG (70.7kb),Low-res,Unknown,Eng,No known restrictions on publication
coll010,item010.jpg,Three Men Curling in Switzerland,"Frissell, Toni","November, 1955",Image of three men with brooms standing on ice near curling stones in Switzerland,Curling; sweeping; broom; stone; ice sports; Zermatt; Switzerland,"Zermatt, Switzerland","Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA https://hdl.loc.gov/loc.pnp/pp.print",Image;StillImage,"Photograph, color transparency, 35mm",item010.jpg,image/jpg,JPEG (70.9kb),Low-res,Unknown,Eng,No known restrictions on publication
coll011,item011.png,The Complete Curler Being the History and Practice of the Game of Curling,"Grant, John Gordon",1914,A book covering the history of curling and its rules with diagrams and pictures,Curling; history; ice sports; stone; sweeping; broom,"London, England",Catalog Record: The complete curler : being the history and... | HathiTrust Digital Library,Text,Book,item011.png,image/png,"JPEG (1562x2285), PDF",Hi-res,"xii, 220 p. :ill. ; 20 cm.",Eng,Public Domain
coll012,item012.jpg,The Canadian Curler's Manual; or An Account of Curling as Practised in Canada: With Remarks on the Game ,"Bicket, James",1840,A book covering the rules and practice of curling in Canada,Curling; history; Canada; ice sports; stone; sweeping; broom,"Toronto, Canada","Catalog Record: The Canadian curler's manual; or, An account... | HathiTrust Digital Library",Text,Book,item012.jpg,image/jpg,"JPEG (1677x2839), PDF",Hi-res,47 p.,Eng,Public Domain
